Log File created successfully.
01:26:38 09 December 2018  :Navigated to -https://transformationqa1.hcmondemand.net
01:27:12 09 December 2018  :finding Element - 
01:27:14 09 December 2018  :Completed finding - 
01:29:56 09 December 2018  :finding Element - 
01:29:56 09 December 2018  :Completed finding - 
01:29:56 09 December 2018  :Element Value Changed - 
01:29:57 09 December 2018  :Clicking on Element - Element (id = 0.558121898791663-1)
01:30:02 09 December 2018  :Clicked on Element - Element (id = 0.558121898791663-1)
01:30:03 09 December 2018  :Element Value Changed - 
01:30:30 09 December 2018  :finding Element - 
01:30:34 09 December 2018  :Completed finding - 
01:31:08 09 December 2018  :finding Element - 
01:31:08 09 December 2018  :Completed finding - 
01:31:09 09 December 2018  :Element Value Changed - 
01:31:10 09 December 2018  :Clicking on Element - Element (id = 0.558121898791663-2)
01:31:16 09 December 2018  :Clicked on Element - Element (id = 0.558121898791663-2)
01:31:17 09 December 2018  :Element Value Changed - 
01:31:22 09 December 2018  :finding Element - 
01:31:23 09 December 2018  :Completed finding - 
01:32:58 09 December 2018  :finding Element - 
01:33:02 09 December 2018  :Completed finding - 
01:33:19 09 December 2018  :finding Element - 
01:33:21 09 December 2018  :Completed finding - 
01:33:31 09 December 2018  :Clicking on Element - Element (id = 0.558121898791663-3)
01:33:37 09 December 2018  :Clicked on Element - Element (id = 0.558121898791663-3)
01:33:59 09 December 2018  :finding Element - 
01:34:07 09 December 2018  :chrome Instance for MSP is Closed
01:34:07 09 December 2018  :Client Browser:- chrome- Is Not Initialised in the current run
01:34:07 09 December 2018  :Supplier Browser-chrome- Is Not Initialised in the current run
01:34:07 09 December 2018  : Instance for CW is Not Initialised in the current run
