Log File created successfully.
17:21:35 08 December 2018  :Navigated to -https://transformationqa1.hcmondemand.net
17:21:39 08 December 2018  :finding Element - 
17:21:40 08 December 2018  :Completed finding - 
17:21:40 08 December 2018  :finding Element - 
17:21:40 08 December 2018  :Completed finding - 
17:21:40 08 December 2018  :Element Value Changed - 
17:21:41 08 December 2018  :Clicking on Element - Element (id = 0.04430025949614769-1)
17:21:41 08 December 2018  :Clicked on Element - Element (id = 0.04430025949614769-1)
17:21:43 08 December 2018  :Element Value Changed - 
17:21:51 08 December 2018  :finding Element - 
17:21:51 08 December 2018  :Completed finding - 
17:21:51 08 December 2018  :finding Element - 
17:21:51 08 December 2018  :Completed finding - 
17:21:51 08 December 2018  :Element Value Changed - 
17:21:52 08 December 2018  :Clicking on Element - Element (id = 0.04430025949614769-2)
17:21:52 08 December 2018  :Clicked on Element - Element (id = 0.04430025949614769-2)
17:21:54 08 December 2018  :Element Value Changed - 
17:21:54 08 December 2018  :finding Element - 
17:21:54 08 December 2018  :Completed finding - 
17:21:54 08 December 2018  :finding Element - 
17:21:54 08 December 2018  :Completed finding - 
17:21:54 08 December 2018  :finding Element - 
17:21:54 08 December 2018  :Completed finding - 
17:21:55 08 December 2018  :Clicking on Element - Element (id = 0.04430025949614769-3)
17:21:55 08 December 2018  :Clicked on Element - Element (id = 0.04430025949614769-3)
17:21:55 08 December 2018  :finding Element - 
17:21:55 08 December 2018  :Completed finding - 
17:22:19 08 December 2018  :finding Element - 
17:22:19 08 December 2018  :Completed finding - 
17:22:19 08 December 2018  :Clicking on Element - Element (id = 0.1553061196675536-1)
17:22:19 08 December 2018  :Clicked on Element - Element (id = 0.1553061196675536-1)
17:22:19 08 December 2018  :finding Element - 
17:22:19 08 December 2018  :Completed finding - 
17:22:19 08 December 2018  :finding Element - 
17:22:19 08 December 2018  :Completed finding - 
17:22:19 08 December 2018  :Clicking on Element - Element (id = 0.1553061196675536-3)
17:22:19 08 December 2018  :Clicked on Element - Element (id = 0.1553061196675536-3)
17:22:25 08 December 2018  :finding Element - 
17:22:25 08 December 2018  :Completed finding - 
17:22:27 08 December 2018  :finding Element - 
17:22:27 08 December 2018  :Completed finding - 
17:22:27 08 December 2018  :finding Element - 
17:22:27 08 December 2018  :Completed finding - 
17:22:27 08 December 2018  :Clicking on Element - Element (id = 0.1562080538668955-3)
17:22:35 08 December 2018  :chrome Instance for MSP is Closed
17:22:35 08 December 2018  :Client Browser:- chrome- Is Not Initialised in the current run
17:22:35 08 December 2018  :Supplier Browser-chrome- Is Not Initialised in the current run
17:22:35 08 December 2018  : Instance for CW is Not Initialised in the current run
