Log File created successfully.
17:03:34 08 December 2018  :Navigated to -https://transformationqa1.hcmondemand.net
17:04:29 08 December 2018  :finding Element - 
17:04:29 08 December 2018  :Completed finding - 
17:04:29 08 December 2018  :finding Element - 
17:04:29 08 December 2018  :Completed finding - 
17:04:29 08 December 2018  :Element Value Changed - 
17:04:30 08 December 2018  :Clicking on Element - Element (id = 0.9737751195292192-1)
17:04:33 08 December 2018  :Clicked on Element - Element (id = 0.9737751195292192-1)
17:04:35 08 December 2018  :Element Value Changed - 
17:04:46 08 December 2018  :finding Element - 
17:04:46 08 December 2018  :Completed finding - 
17:04:46 08 December 2018  :finding Element - 
17:04:46 08 December 2018  :Completed finding - 
17:04:46 08 December 2018  :Element Value Changed - 
17:04:47 08 December 2018  :Clicking on Element - Element (id = 0.9737751195292192-2)
17:04:47 08 December 2018  :Clicked on Element - Element (id = 0.9737751195292192-2)
17:04:49 08 December 2018  :Element Value Changed - 
